"BLUEPRINT_RECENT_BLUEPRINT"	"Последние чертежи"
"ERROR_INVALID_GARAGE_SLOT"	"Неверное место в гараже."
"ERROR_INVALID_PARAMS"	"Неверные параметры."
"ERROR_INVALID_TOKEN_PROVIDED"	"Неверный токен."
"ERROR_INVENTORY_FULL"	"Склад полон."
"ERROR_INVENTORY_NOT_ENOUGH_ITEMS"	"Недостаточно предметов."
"ERROR_INVENTORY_NO_SUCH_ITEM"	"Предмет отсутствует."
"ERROR_INVENTORY_UNIQUE_ITEM"	"Нельзя иметь более одного предмета этого типа."
"ERROR_IP_BANNED"	"Ваш IP-адрес заблокирован."
"ERROR_ITEM_NON_SALVAGEABLE"	"Предмет нельзя разобрать."
"ERROR_ITEM_NOT_FUSEABLE"	"Этот предмет нельзя улучшить."
"ERROR_ITEM_NOT_FUSIBLE"	"Деталь недоступна для улучшения."
"ERROR_ITEM_SAME_FLAG_ALREADY_ACTIVE"	"У вас уже есть активный флаг, дождитесь, пока закончится время его действия."
"ERROR_KICKED"	"Вы были заблокированы."
"ERROR_LB_NOT_AVAILABLE"	"Рейтинг недоступен."
"ERROR_LEVIATHAN_ALREADY_ACTIVE"	"Левиафан игрока уже активен."
"ERROR_LEVIATHAN_LOCKED"	"Нельзя редактировать активный Левиафан."
"ERROR_LEVIATHAN_MIN_PLAYER_LEVEL"	"У вас недостаточный уровень для игры в этом режиме."
"ERROR_LEVIATHAN_NOT_ACTIVE"	"Левиафан игрока неактивен."
"ERROR_LEVIATHAN_SERVICE_UNAVAILABLE"	"Сервис Левиафанов временно недоступен."
"ERROR_LEVIATHAN_WRONG_STATE"	"Неверное состояние Левиафана."
"ERROR_LOBBY_ALREADY_INVITED"	"Игрок уже приглашен."
"ERROR_LOBBY_ALREADY_MEMBER"	"Игрок уже в комнате."
"ERROR_LOBBY_CANT_CREATE"	"Не удалось создать комнату."
"ERROR_LOBBY_DIFFICULTY_NOT_AVAILIABLE"	"Настройка сложности недоступна."
"ERROR_LOBBY_GAMEMODE_NOT_AVAILABLE"	"Данный режим недоступен."
"ERROR_LOBBY_MAP_NOT_AVAILABLE"	"Данная карта недоступна."
"ERROR_LOBBY_NOT_AVAILIABLE_FOR_MODE"	"Опция недоступна для данного игрового режима."
"ERROR_LOBBY_USER_NOT_FOUND"	"Пользователь не найден."
"ERROR_LTOKEN_ALREADY_HAS_LEADER"	"Лидер сервиса уже существует."
"ERROR_LTOKEN_LEADERSHIP_LOST"	"Сервис потерял лидерство."
"ERROR_LTOKEN_NO_LEADER_FOUND"	"Лидера для сервиса не существует."
"ERROR_MALICIOUS_KICKED"	"Вы были исключены за плохое поведение."
"ERROR_MISSION_NOT_SCHEDULED"	"Это задание сейчас недоступно."
"ERROR_MISSION_NOT_SELECTED"	"Необходимо выбрать мисиию"
"ERROR_MISSION_REQUIRE_GEAR_LEVEL"	"Недостаточно очков мощи для выбранной миссии."
"ERROR_MISSION_REQUIRE_LEVEL"	"Для миссии нужен определенный уровень."
"ERROR_MISSION_REQUIRE_MISSION"	"Необходимо выполнить предыдущую миссию."
"Error_MISSION_REQUIRE_MONEY_BET"	"Недостаточно средств для ставки."
"ERROR_MISSION_REQUIRE_PERK"	"для выполнения этой миссии требуется строительство специального здания."
"ERROR_MM_ALREADY_IN_GAME"	"Игрок уже в игре."
"ERROR_MM_ALREADY_IN_QUEUE"	"Игрок уже в очереди."
"ERROR_MM_CANT_RESERVE_SLOTS"	"Невозможно зарезервировать слоты."
"ERROR_MM_CARDESIGN_CHECK"	"Нельзя менять машину или ее части после постановки в очередь."
"ERROR_MM_CLAN_WARS_ACCESS"	"Доступ в клановые бои закрыт."
"ERROR_MM_CLAN_WARS_EXACT_PLAYERS"	"Требуется команда из 4 игроков."
"ERROR_MM_CLAN_WARS_SAME_CLAN"	"Игроки должны состоять в одном клане."
"ERROR_MM_FAILED_ADD_IN_QUEUE"	"Не удалось встать в очередь."
"ERROR_MM_INVALID_ACTION"	"Неверное действие."
"ERROR_MM_INVALID_USER"	"Неверный пользователь."
"ERROR_MM_LADDER_SEASON_OUTDATED"	"Рейтинг обновлен. Вступите в бой заново."
"ERROR_MM_MAINTENANCE_ACTIVE"	"Проводятся технические работы."
"ERROR_MM_MISSION_CHECK"	"Ошибка подтверждения миссии."
"ERROR_MM_NOT_IN_QUEUE"	"Игрок не в очереди."
"ERROR_MM_NO_DSFARMS_AVAILABLE"	"Нет доступных DS farm."
"ERROR_MM_NO_SERVERS_FOR_REGION"	"Нет доступных серверов в выбранном регионе."
"ERROR_MM_PARTY_CONFLICTED_QUEUES"	"Члены группы стоят в разных очередях."
"ERROR_MM_PARTY_TO_FFA"	"В миссию нельзя войти группой"
"ERROR_MM_ROTATION_CHANGED"	"Ротация заданий изменилась."
"ERROR_MM_TOO_FEW_PLAYERS"	"В группе недостаточно игроков для данного режима."
"ERROR_MM_TOO_MANY_PLAYERS"	"В группе слишком много игроков для данного режима."
"ERROR_MM_UNAVAILABLE"	"Матчмейкинг временно недоступен."
"ERROR_MM_USER_CLAN_CHANGED"	"Один из игроков сменил клан."
"ERROR_NETWORK"	"Ошибка соединения с сервером Crossout. Попробуйте позже или обратитесь в службу поддержки."
"ERROR_NICKNAME_INVALID"	"Недопустимое имя."
"ERROR_NICKNAME_TAKEN"	"Это имя уже занято другим игроком."
"ERROR_NOT_LOGGED_IN"	"Необходимо выполнить вход."
"ERROR_NO_CAR_DESIGN"	"Чертеж не существует."
"ERROR_NO_QUEST_REPICK_TODAY"	"Сегодня больше нельзя выбирать миссию."
"ERROR_NO_SUCH_QUEST"	"Квест не найден."
"ERROR_OK"	"Никаких ошибок!"
"ERROR_OPERATION_CANCELLED"	"Операция отменена."
"ERROR_PARSE_ERROR"	"Ошибка обработки запроса."
"ERROR_PARTY_ALREADY_MEMBER"	"Игрок уже в группе."
"ERROR_PARTY_CANT_INVITE_SELF"	"Нельзя пригласить самого себя в группу."
"ERROR_PARTY_FULL"	"В группе нет мест."
"ERROR_PARTY_INVALID_STATE"	"Невозможно отправиться в бой группой. Игрок не принял ваше приглашение."
"ERROR_PARTY_MISSION_FORBIDDEN"	"Миссия недоступна."
"ERROR_PARTY_NOT_INVITED"	"Игрок не приглашен в группу."
"ERROR_PARTY_NOT_LEADER"	"Игрок не лидер группы."
"ERROR_PARTY_NOT_MEMBER"	"Игрок не состоит в группе."
"ERROR_PARTY_PLAYER_OFFLINE"	"Этот игрок не в сети."
"ERROR_PARTY_SOMEONE_LEAVE"	"Игрок вышел из группы."
"ERROR_PARTY_VALIDATION_ERROR"	"Группе не удалось встать в очередь."
"ERROR_PENDING"	"Производится асинхронная операция."
"ERROR_PERK_CONFLICT_OTHER_PERK"	"Строительство невозможно.||Сначала нужно разрушить здание $exclude_perk$, запрещающее постройку."
"ERROR_PERK_INALIENABLE"	"Невозможно разрушить стартовое здание лагеря."
"ERROR_PERK_INUSE_CRAFTSMAN"	"Нельзя разрушить это здание, так как оно используется одним из мастеров.||Сначала увольте мастера."
"ERROR_PERK_INUSE_TRADE"	"Нельзя разрушить здание — торговые слоты, обеспеченные им, используются.|Сначала снимите с продажи несколько лотов."
"ERROR_PERK_INUSE_WORKPLACE"	"Нельзя разрушить это здание, так как оно используется как рабочее место.||Сначала освободите рабочее место."
"ERROR_PERK_MAX_GRADE"	"Здание @ff00ff00$perk_name$$restore$ уже максимального уровня."
"ERROR_PERK_NO_GRADE"	"Невозможно разрушить здание, которое еще не построено."
"ERROR_PERK_NO_POINTS"	"В лагере недостаточно людей для осуществления операции.||Повышайте свой уровень в бою, для привлечения новых людей."
"ERROR_PERK_OTHER_REQUIRE"	"Нельзя разрушить здание @ff00ff00$perk_name$$restore$, так как оно требуется для работы здания @ffff0000$next_perk$$restore$.||Сначала разрушьте @ffff0000$next_perk$$restore$."
"ERROR_PERK_REQUIRE_MORE_UNLOCKED_PERK"	"Нужно построить больше зданий."
"ERROR_PERK_REQUIRE_OTHER_PERK"	"Для строительства  здания @ff00ff00$perk_name$$restore$ требуется наличие здания $require_perk$$require_perk_lvl$.||Постройте $require_perk$$require_perk_lvl$."
