"2STEP_AUTHORIZATION_ENABLED"	"Tu cuenta está protegida."
"CarPart_VanBumper_Desc"	"Parachoques de furgoneta. Inflige un mayor daño al colisionar."
"CarPart_VanBumper_Name"	"Parachoques de furgoneta"
"CarPart_VanDoor_epic_Desc"	"Pieza metálica cortada de una furgoneta."
"CarPart_VanDoor_epic_Name"	"Puerta de furgoneta"
"CarPart_VanRoofTent_epic_Desc"	"Pieza de techo de lona."
"CarPart_VanRoofTent_epic_Name"	"Techo de lona"
"CarPart_VanRoof_epic_Desc"	"Carenado de techo de plástico reforzado con armazón metálico."
"CarPart_VanRoof_epic_Name"	"Carenado"
"CarPart_VanSideTent_epic_Desc"	"Lateral de lona de furgoneta."
"CarPart_VanSideTent_epic_Name"	"Aparador de lona"
"CarPart_VanSide_epic_Desc"	"Pieza metálica cortada de una furgoneta."
"CarPart_VanSide_epic_Name"	"Lateral de furgoneta"
"CarPart_VanTopEdge_epic_Desc"	"Un fragmento de rampa de techo de una furgoneta."
"CarPart_VanTopEdge_epic_Name"	"Rampa de furgoneta"
"CarPart_VanTop_epic_Desc"	"Pieza metálica cortada de una furgoneta."
"CarPart_VanTop_epic_Name"	"Techo de furgoneta"
"CarPart_VanWindow_epic_Desc"	"Pieza metálica cortada de una furgoneta."
"CarPart_VanWindow_epic_Name"	"Ventana de furgoneta"
"CarPart_WheelBig_RS_epic_Desc"	"Radio incrementado. Requiere un motor muy potente para un manejo adecuado."
"CarPart_WheelBig_RS_epic_Name"	"Rueda grande ST"
"CarPart_WheelBig_R_epic_Desc"	"Radio incrementado. Requiere un motor muy potente para un manejo adecuado."
"CarPart_WheelBig_R_epic_name"	"Rueda grande"
"CarPart_WheelDouble_RS_epic_desc"	"El diseño de ruedas gemelas proporciona un gran agarre a cualquier superficie."
"CarPart_WheelDouble_RS_epic_name"	"Rueda gemela ST"
"CarPart_WheelDouble_R_epic_desc"	"El diseño de ruedas gemelas proporciona un gran agarre a cualquier superficie."
"CarPart_WheelDouble_R_epic_name"	"Rueda gemela"
"CarPart_WheelDroneDeployer_Desc"	"Lanza un dron de combate móvil con ruedas que ataca a todos los objetivos dentro del radio."
"CarPart_WheelDroneDeployer_Name"	"Sidekick"
"CarPart_WheelMed_RS_rare_desc"	"Agarre mejorado y otras características."
"CarPart_WheelMed_RS_rare_name"	"Rueda mediana ST"
"CarPart_WheelMed_R_rare_desc"	"Agarre mejorado y otras características."
"CarPart_WheelMed_R_rare_name"	"Rueda mediana"
"CarPart_WheelMilitary_Desc"	"Rueda equilibrada duradera de TBP militar."
"CarPart_WheelMilitary_Name"	"Rueda de TBP"
"CarPart_WheelMilitary_S_Desc"	"Rueda equilibrada duradera de TBP militar. Dirección."
"CarPart_WheelMilitary_S_Name"	"Rueda de TBP ST"
"CarPart_WheelSmallChains_Desc"	"Una rueda con cadenas para tener mejor agarre en condiciones complicadas."
"CarPart_WheelSmallChains_Name"	"Rueda con cadenas"
"CarPart_WheelSmallChains_S_Desc"	"Un volante con cadenas para tener mejor agarre en condiciones complicadas."
"CarPart_WheelSmallChains_S_Name"	"Rueda con cadenas ST"
"CarPart_WheelSmallSpiked_Desc"	"Ruedas con tachuelas"
"CarPart_WheelSmallSpiked_Name"	"Ruedas con tachuelas"
"CarPart_WheelSmallSpiked_S_Desc"	"Ruedas con tachuelas ST"
"CarPart_WheelSmallSpiked_S_Name"	"Ruedas con tachuelas ST"
"CarPart_WheelSmall_RS_desc"	"Más fiable y con mejor tolerancia de masa."
"CarPart_WheelSmall_RS_name"	"Rueda pequeña ST"
"CarPart_WheelSmall_R_desc"	"Más fiable y con mejor tolerancia de masa."
"CarPart_WheelSmall_R_name"	"Rueda pequeña"
"CarPart_WheelSmall_Starter_desc"	"Bandas de rodadura gastadas, baja estructura y tolerancia de masa; hay que cambiar este neumático."
"CarPart_WheelSmall_Starter_name"	"Rueda de principiante"
"CarPart_WheelSmall_S_Starter_desc"	"Bandas de rodadura gastadas, baja estructura y tolerancia de masa; hay que cambiar este neumático."
"CarPart_WheelSmall_S_Starter_name"	"Rueda de principiante ST"
"CarPart_Wheel_AviaSmall_desc"	"Una vez que la rueda se apoya en el peso del helicóptero o avión pequeño."
"CarPart_Wheel_AviaSmall_name"	"Tren de aterrizaje"
"CarPart_Wheel_AviaSmall_S_desc"	"Una vez que la rueda se apoya en el peso del helicóptero o avión pequeño."
"CarPart_Wheel_AviaSmall_S_name"	"Tren de aterrizaje ST"
"CarPart_Wheel_Baloon_desc"	"La tecnología patentada permite a los ingenieros crear ruedas sin neumáticos."
"CarPart_Wheel_Baloon_name"	"Rueda globo"
"CarPart_Wheel_Baloon_S_desc"	"La tecnología patentada permite a los ingenieros crear ruedas sin neumáticos."
"CarPart_Wheel_Baloon_S_name"	"Rueda globo ST"
"CarPart_Wheel_Drag_desc"	"Rueda ligera con durabilidad y tonelaje superior a la media."
"CarPart_Wheel_Drag_name"	"Rueda de carreras"
"CarPart_Wheel_Drag_S_desc"	"Volante ligero con durabilidad y tonelaje superior a la media."
"CarPart_Wheel_Drag_S_name"	"Rueda de carreras ST"
"CarPart_Wheel_Medieval_Desc"	"Una rueda medieval elegante, pero robusta."
"CarPart_Wheel_Medieval_Name"	"Rueda con arma instalada"
"CarPart_Wheel_Medieval_S_Desc"	"Una rueda medieval elegante, pero robusta."
"CarPart_Wheel_Medieval_S_Name"	"Rueda con arma instalada ST"
"CarPart_Wheel_Proto_IronSmall_desc"	"Inflige daño a todo lo que toca."
"CarPart_Wheel_Proto_IronSmall_name"	"Desfibradora"
"CarPart_Wheel_Proto_IronSmall_S_desc"	"Inflige daño a todo lo que toca."
"CarPart_Wheel_Proto_IronSmall_S_name"	"Trituradora ST"
"CarPart_Wing_Desc"	"No influye en las características del vehículo, ¡pero es chulísimo!"
"CarPart_Wing_Name"	"Alerón"
"CarPart_WitchDuck_Desc"	"Parece que algo salió mal al crear esta decoración festiva. Pero no hubo tiempo para arreglarlo."
"CarPart_Zubilo_bumper_Desc"	"Parachoques delantero personalizado para un vehículo de motor ligero."
"CarPart_Zubilo_bumper_Name"	"Parachoques de \"Bully\""
"CarPart_Zubilo_f_fender_left_Desc"	"Defensa de metal de un vehículo normal al que le han dado un aspecto más a vehículo de carreras con un elemento lateral adicional."
"CarPart_Zubilo_f_fender_left_Name"	"Defensa izquierda blindada"
"CarPart_Zubilo_f_fender_right_Desc"	"Defensa de metal de un vehículo normal al que le han dado un aspecto más a vehículo de carreras con un elemento lateral adicional."
"CarPart_Zubilo_f_fender_right_Name"	"Defensa derecha blindada"
"CarPart_zubilo_nosecut_Desc"	"Un trozo frontal de un vehículo de motor ligero"
"CarPart_Zubilo_nosecut_Name"	"Trozo de un morro de \"Bully\""
"CarPart_zubilo_Trunk_Desc"	"Mitad trasera de un vehículo de motor ligero, que ahora está siendo usada como soporte de un arma."
"CarPart_zubilo_Trunk_Name"	"Powerslide"
"CarPart_Zubilo_wingleft_Desc"	"Un bastidor fabricado fue soldado a un fragmento de guardabarros de un viejo camión. El resultado es esta defensa lateral casera."
"CarPart_Zubilo_wingleft_Name"	"Defensa lateral izquierda"
"CarPart_Zubilo_wingright_Desc"	"Un bastidor fabricado fue soldado a un fragmento de guardabarros de un viejo camión. El resultado es esta defensa lateral casera."
"CarPart_Zubilo_wingright_Name"	"Defensa lateral derecha"
"Chassis_Basic_desc"	"Cabina extremadamente ligera que siempre ha sido muy popular entre los Lunáticos y sus seguidores.||Máxima velocidad pero el tonelaje es extremadamente bajo."
"Chassis_Basic_name"	"Growl"
"Chassis_Basic_RaiderSkin_Desc"	"Un modelo rápido y aerodinámico. La \"McCampbell\" se parece a la cabina de un avión de combate o de un transbordador espacial. Solo su propietario puede decir con seguridad cuál es.||Máxima velocidad, aunque con un tonelaje extremadamente bajo."
"Chassis_ChevyPickup_Desc"	"A pesar de su apariencia un tanto incómoda y de sus muchos parches en el capó, esta cabina puede sorprenderte gratamente."
"Chassis_ChevyPickup_Name"	"Jockey"
"Chassis_FordPickup_Alpha_Desc"	"Una versión especial de la cabina de una camioneta. ¡El revestimiento protector reduce en un 10 % la probabilidad de que al conductor le crezca una tercera pierna!"
"Chassis_FordPickup_Alpha_Name"	"Thug"
"Chassis_FordPickup_Desc"	"Una cabina ligera y rápida que se puede encontrar con frecuencia por Wasteland.||Se desempeña bien en la mayoría de situaciones de combate."
"Chassis_FordPickup_name"	"Huntsman"
"Chassis_Gazelle_China_Name"	"Docker CX"
"Chassis_Gazelle_desc"	"Cabina de un camión pequeño para supervivientes que valoran la fiabilidad.||Gran tonelaje, pero baja velocidad."
"Chassis_Gazelle_name"	"Docker"
"Chassis_Kamaz_desc"	"Se usa como base para la maquinaria pesada de los Carroñeros. Una cabina seria para supervivientes serios.||Excelente capacidad de carga y un perfil imponente, pero baja velocidad."
"Chassis_Kamaz_name"	"Trucker"
"Chassis_Maz_Desc"	"La mayor cabina de Wasteland. Esta vez el tamaño definitivamente importa.||Increíble capacidad de carga y amplio perfil, pero baja velocidad."
"Chassis_Maz_Name"	"Humpback"
"Chassis_Military_Desc"	"El perfil bajo y su adusto exterior dejan claro sus antecedentes militares.||Un cabina equilibrada con un perfil bajo, pero su velocidad deja mucho que desear."
"Chassis_Military_Name"	"Jawbreaker"
"Chassis_Military_RaiderSkin_Desc"	"Se siente como si el mismo \"Lucifer\" hubiera ascendido a las carreteras de Wasteland desde otro mundo. Insomne y amenazante, infunde un miedo y admiración primigenio a todos los que lo rodean.||Una cabina equilibrada con un perfil bajo, pero su velocidad deja mucho que desear."
"Chassis_Mustang_Desc"	"Cabina de prueba"
"Chassis_Mustang_Name"	"Mustang"
"Chassis_Panzer_desc"	"Un tanque sigue siendo un tanque incluso cuando el mundo es solo cenizas.||Alto rendimiento y amplio tamaño, pero muy baja velocidad."
"Chassis_Panzer_name"	"Carapace"
"Chassis_Rage_Desc"	"Cabina de un vehículo militar todoterreno. El nombre coincide perfectamente con su apariencia.||Una cabina polivalente con perfil bajo."
"Chassis_Rage_Name"	"Fury"
"Chassis_Small_Desc"	"Cabina de principiante con el suelo oxidado y el chasis medio muerto. Todos los parámetros dejan mucho que desear."
"Chassis_Small_name"	"Guerrillero"
"Chassis_Spider_Desc"	"Construido usando los planos de un héroe de guerra, que había pasado varias semanas en Wasteland y regresó de una pieza."
"Chassis_SportCustom_Desc"	"Cabina de prueba"
"Chassis_SportCustom_Name"	"Cabina personalizada"
"Chassis_VWT1_Desc"	"Una cabina bastante resistente y fiable. ¡Y qué elegante!||Una cabina equilibrada con tonelaje mejorado."
"Chassis_VWT1_name"	"WWT1"
"Chassis_Wyvern_Desc"	"Una cabina que una vez perteneció a un avión. No volverá a volar, pero es perfecta para batallas de alta velocidad.|Se adapta a la mayoría de situaciones de combate. Y con un perfil estrecho que permite una gran variedad de posibilidades tácticas."
"Chassis_Wyvern_Name"	"Wyvern"
"Chassis_Wyvern_RaiderSkin_Desc"	"Esta agresiva, rápida y feroz cabina te llevará por Wasteland sin límites. Tan lejos como el corazón de un eterno vagabundo desee.||Apto para la mayoría de situaciones de combate. Su perfil estrecho ofrece una gran variedad de oportunidades tácticas adicionales."
"Decal_default_Desc"	"Las pegatinas se pueden colocar en cualquier superficie, además de rotarlas y cambiarlas de tamaño."
"Decal_halloween02_Name"	"El Piloto sin cabeza"
"Decal_halloween04_Name"	"Calabaza"
"Decal_halloween05_Name"	"Viuda roja"
"Decal_noheart_name"	"Corazón Negro"
"Decal_nyear2018_cookie_Name"	"Cookie"
"Decal_raider05_Name"	"Carroñero"
"Decal_redstar_Name"	"Estrella"
"Decal_thailand_q_name"	"Q"
"Decal_tribal01_Desc"	"Las pegatinas se pueden colocar en cualquier superficie, además de rotarlas y cambiarlas de tamaño."
"Decal_tribal01_Name"	"Capricorn"
"Decal_wwi_dog01_Name"	"Perros de Guerra"
"Decal_Zubilo01_Name"	"Conduce con cuidado"
"Decal_Zubilo02_Name"	"Ups, pedal equivocado"
"Decal_Zubilo03_Name"	"Estilo salvaje"
"Decal_Zubilo04_Name"	"Petroglifos"
"Decal_Zubilo05_Name"	"Piloto-96"
"Decal_Zubilo06_Name"	"¡No te acerques!"
"Decal_Zubilo07_Name"	"Jota"
"Decal_Zubilo08_Name"	"Berenjena"
"Dye_23feb2016_Desc"	"Un esquema de colores festivo especial."
"Dye_23feb2016_Name"	"Defensor de la patria"
"Dye_AcidGreen_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_AcidGreen_glossy_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_AcidGreen_glossy_Name"	"Isótopo-239 metalizado"
"Dye_AcidGreen_Name"	"Isótopo-239"
"Dye_Aircraft_Desc"	"Pintura y materiales|Puede tratar la mayoría de piezas."
"Dye_Aircraft_Name"	"Material: aluminio"
"Dye_Black01_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_Black01_Name"	"Negro 1"
"dye_BlackScratch_Desc"	"Pintura y diseños.|Puede colorear la mayoría de piezas."
"dye_BlackScratch_Name"	"Diseño: Tierra abrasada"
"Dye_Black_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_Black_glossy_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_Black_glossy_Name"	"Medianoche metalizada"
"Dye_Black_Name"	"Medianoche"
"Dye_Blue01_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_Blue01_Name"	"Azul"
"Dye_Blue02_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_Blue02_glossy_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_Blue02_glossy_Name"	"Oasis metalizado"
"Dye_Blue02_Name"	"Oasis"
"Dye_Blue03_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_Blue03_glossy_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_Blue03_glossy_Name"	"Crepúsculo metalizado"
"Dye_Blue03_Name"	"Crepúsculo"
"Dye_Brown01_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_Brown01_glossy_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_Brown01_glossy_Name"	"Páramo metalizado"
"Dye_Brown02_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_Brown02_glossy_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_Brown02_glossy_Name"	"Bromo metalizado"
"Dye_Brown02_Name"	"Bromo"
"Dye_Carbon_Desc"	"Pintura y materiales|Puede tratar la mayoría de piezas."
"Dye_Carbon_Name"	"Material: carbón"
"Dye_checker_Desc"	"Pintura y diseños.|Puede colorear la mayoría de piezas."
"Dye_checker_Name"	"Diseño: Damas"
"Dye_CherryNine_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_CherryNine_glossy_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_CherryNine_glossy_Name"	"Cereza metalizada"
"Dye_CherryNine_Name"	"Cereza"
"Dye_Chrome_Desc"	"Pintura y materiales|Puede tratar la mayoría de piezas."
"Dye_Chrome_Name"	"Material: cromo"
"Dye_Crimson01_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_Crimson01_glossy_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_Crimson01_glossy_Name"	"Tornado metalizado"
"Dye_Crimson01_Name"	"Tornado"
"Dye_Crimson02_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_Crimson02_Name"	"Carmesí 2"
"Dye_Cyan01_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_Cyan01_glossy_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_Cyan01_glossy_Name"	"Luces polares metalizadas"
"Dye_Cyan01_Name"	"Luces polares"
"Dye_Cyan02_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_Cyan02_glossy_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_Cyan02_glossy_Name"	"Campo magnético metalizado"
"Dye_Cyan02_Name"	"Campo magnético"
"Dye_DangerStripes_Desc"	"Pintura y diseños.|Puede colorear la mayoría de piezas."
"Dye_DangerStripes_Name"	"Diseño: ¡Peligro!"
"dye_Eraser_Desc"	"Elimina la pintura y restablece el aspecto original de la pieza."
"dye_Eraser_Name"	"Disolvente de pintura"
"Dye_ForestCamuflage_Desc"	"Pintura y diseños.|Puede colorear la mayoría de piezas."
"Dye_ForestCamuflage_Name"	"Diseño: Bosque"
"Dye_Gold_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_Gold_Name"	"Material: oro"
"Dye_Gray_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_Gray_glossy_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_Gray_glossy_Name"	"Cenizas metalizadas"
"Dye_Gray_Name"	"Cenizas"
"Dye_Green01_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_Green01_Name"	"Brisa"
"Dye_Green02_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_Green02_glossy_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_Green02_glossy_Name"	"Amuleto metalizado"
"Dye_Green02_Name"	"Amuleto"
"Dye_Green03_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_Green03_glossy_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_Green03_glossy_Name"	"Esmeralda metalizada"
"Dye_Green03_Name"	"Esmeralda"
"Dye_Green04_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_Green04_glossy_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_Green04_glossy_Name"	"Iguana metalizada"
"Dye_Green04_Name"	"Iguana"
"Dye_GreenKhaki_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_GreenKhaki_glossy_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_GreenKhaki_glossy_Name"	"Verde caqui metalizado"
"Dye_GreenKhaki_Name"	"Caqui 2"
"Dye_Grey01_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_Grey01_glossy_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_Grey01_glossy_Name"	"Neblina metalizada"
"Dye_Grey01_Name"	"Neblina"
"Dye_Grey02_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_Grey02_Name"	"Plomizo"
"Dye_Grey03_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_Grey03_glossy_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_Grey03_glossy_Name"	"Nubes espesas metalizado"
"Dye_Grey03_Name"	"Nubes espesas"
"Dye_Grid_Desc"	"Pintura y materiales|Puede tratar la mayoría de piezas."
"Dye_Grid_Name"	"Material: parrilla"
"Dye_Khaki01_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_Khaki01_glossy_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_Khaki01_glossy_Name"	"Caqui 1 metalizado"
"Dye_Khaki01_Name"	"Caqui 1"
"Dye_Khaki02_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_Khaki02_Name"	"Caqui 2"
"Dye_Khaki03_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
"Dye_Khaki03_glossy_Desc"	"Bote de spray.|Puede colorear la mayoría de piezas."
